Title,Author,Gitenberg Status,Formatting Complexity,Formatting Notes,Gitenberg URL,Repo Cover,RTC 1st GEN,RTC 2nd GEN,RTC Other Gen,RTC Cover?,RTC Good Cover?,Need to Add to CAN Submit List,CAN REQUEST DATE,Notes,"Name in rtc/books.json, Official Name",ISBN 13,Tagged for ePUB gen Process (y/n)
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,ASCIIDOC,,,https://github.com/GITenberg/The-Strange-Case-of-Dr.-Jekyll-and-Mr.-Hyde_42,,X,,,YES,,,,,Dr. Jekyll and Mr. Hyde,,
Dracula,Bram Stoker,ASCIIDOC,,,https://github.com/GITenberg/Dracula_345,,X,,,YES,,,,,Dracula,,
Flatland: A Romance of Many Dimensions,Edwin A. Abbott,ASCIIDOC,DIFFICULT,Lots of images,https://github.com/GITenberg/Flatland--A-Romance-of-Many-Dimensions--Illustrated-_201,,X,,,YES,,,,,Flatland,,
Grimm's Fairy Tales,Brothers Grimm,ASCIIDOC,,,https://github.com/GITenberg/Household-Stories-by-the-Brothers-Grimm_19068,,X,,,YES,,,,,Grimm's Fairy Tales,,
Heart of Darkness,Joseph Conrad,ASCIIDOC,,,https://github.com/GITenberg/Heart-of-Darkness_219,,X,,,YES,,,,,Heart of Darkness,,
Journey to the Center of the Earth,Jules Verne,ASCIIDOC,MEDIUM,"Footnotes, weird characters, missing italics",https://github.com/GITenberg/A-Journey-into-the-Interior-of-the-Earth_3748,,X,,,YES,,,,,Journey to the Center of the Earth,,
Jude the Obscure,Thomas Hardy,ASCIIDOC,,,https://github.com/GITenberg/Jude-the-Obscure_153,,X,,,YES,,,,,Jude the Obscure,,
King Solomon's Mines,H. Rider Haggard,ASCIIDOC,,,https://github.com/GITenberg/King-Solomon-s-Mines_2166,,X,,,YES,,,,,King Solomon's Mines,,
Little Women,Louisa May Alcott,ASCIIDOC,,,https://github.com/GITenberg/Little-Women_514,,X,,,YES,,,,,Little Women,,
Madame Bovary,Gustave Flaubert,ASCIIDOC,,,https://github.com/GITenberg/Madame-Bovary_2413,,X,,,YES,,,,,Madame Bovary,,
